item_id,name,category,description,price,image_url,is_available,tags,customizations
,Classic Milk Tea,signature,Smooth black tea with creamy milk and chewy tapioca pearls.,5.50,,true,popular|signature|tea|iced,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Popping Boba|Lychee Jelly
,Brown Sugar Boba,signature,Rich brown sugar syrup swirled into fresh milk with tiger-stripe pearls.,6.50,,true,popular|signature|tea|iced,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Popping Boba
,Taro Milk Tea,signature,Creamy taro blended with milk tea and tapioca pearls.,6.00,,true,popular|signature|tea|iced,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Taro Jelly|Popping Boba
,Matcha Latte Boba,matcha,Ceremonial grade matcha with fresh milk and chewy tapioca pearls.,6.50,,true,matcha|iced|popular,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Lychee Jelly|Popping Boba
,Matcha Coconut,matcha,Earthy matcha paired with coconut milk and coconut jelly.,6.50,,true,matcha|iced,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Coconut Jelly|Tapioca Pearls
,Strawberry Fruit Tea,fruit tea,Fresh strawberry tea with real fruit pieces and popping boba.,5.50,,true,tea|iced|fruit,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Popping Boba|Lychee Jelly|Tapioca Pearls
,Passion Fruit Green Tea,fruit tea,Tropical passion fruit blended with light green tea.,5.50,,true,tea|iced|fruit,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Popping Boba|Lychee Jelly
,Lychee Rose Tea,fruit tea,Delicate lychee and rose flavors over refreshing black tea.,5.50,,true,tea|iced|fruit,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Lychee Jelly|Popping Boba
,Thai Tea Boba,tea,Classic Thai iced tea with condensed milk and tapioca pearls.,5.50,,true,tea|iced|popular,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Popping Boba
,Jasmine Milk Tea,tea,Fragrant jasmine green tea with fresh milk and pearls.,5.50,,true,tea|iced,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Lychee Jelly
,Oolong Milk Tea,tea,Roasted oolong with creamy milk — light and smooth.,5.50,,true,tea|iced,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Popping Boba
,Mango Smoothie,smoothie,Fresh mango blended into a thick creamy smoothie.,6.00,,true,iced|fruit|popular,sweetness=Less Sweet|Regular|Extra Sweet;toppings=Tapioca Pearls|Popping Boba|Lychee Jelly
,Avocado Smoothie,smoothie,Rich and creamy avocado smoothie with condensed milk.,6.50,,true,iced|popular,sweetness=Less Sweet|Regular|Extra Sweet;toppings=Tapioca Pearls|Coconut Jelly
,Strawberry Matcha,matcha,Layers of fresh strawberry and earthy matcha over milk.,6.50,,true,matcha|iced|popular,sweetness=Less Sweet|Regular|Extra Sweet;ice=Less Ice|Regular|Extra Ice;toppings=Tapioca Pearls|Popping Boba
